Created-At,From-User,From-User-Id,Id,Language,Retweet-Count,Source,Text,_id
1631477403000,Nano,200566302,1437146508932128773,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Demasiadas listas zurdas...así estamos,613e76e8ce63935b7d6526a6
1631477208000,Hugo Matteri 🌴☀🌴,197133329,1437145693345492993,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@die_quema Acá votamos senadores y diputados nacionales, y concejales.
Todos de JxC, pero de listas distintas en la interna.
Hay que votar por los amigos",613e76e8ce63935b7d6526a7
1631476307000,Mokina,1241880886276169730,1437141914009100294,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tenemos una cita en el """"Arthur Ashe"""".....y ya estamos listas!!!
VAMOS NOLE!!!!",613e76e8ce63935b7d6526a8
1631483556000,PANTERA 🇨🇱 🇨🇱 🇨🇱,70878608,1437172318808199174,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@mediabanco Todos los partidos políticos son matones, no sólo RN. En TODOS los partidos políticos se pasa al Consejo Político para expulsar a quienes apoyen a otros candidatos que no sean los de ese partido.
Yo nunca más estaría en un partido político, justamente por ese mismo motivo.

🤔",613e76e8ce63935b7d6526a9
1631483524000,PANTERA 🇨🇱 🇨🇱 🇨🇱,70878608,1437172183088963586,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@VGaticaM @JudithRose61 @mediabanco @chahuan @leoromerosaez @desbordes Todos los partidos políticos son matones, no sólo RN. En TODOS los partidos políticos se pasa al Consejo Político para expulsar a quienes apoyen a otros candidatos que no sean los de ese partido.
Yo nunca más estaría en un partido político, justamente por ese mismo motivo.",613e76e8ce63935b7d6526aa
1631483320000,sncolomvt,804424725854306304,1437171325609590790,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@BonelliOK @mauriciomacri @ljuez @rodrigodeloredo @marioraulnegri No te pongas tan contento, Marce. Quizás  no haya sido  los candidatos  de MM. Algún  día el karma se cobra tanto resentimiento",613e76e8ce63935b7d6526ab
1631483188000,danielita,330714837,1437170773261705222,es,2,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Definen candidatos las paso Sres. Dejen de tirar fruta, en noviembre es la posta.",613e76e8ce63935b7d6526ac
1631482174000,PANTERA 🇨🇱 🇨🇱 🇨🇱,70878608,1437166521172824069,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@abalosfelipe @maca_santelices @CMerituatona @joseantoniokast @PRChile Todos los partidos políticos son matones, no sólo RN. En TODOS los partidos políticos se pasa al Consejo Político para expulsar a quienes apoyen a otros candidatos que no sean los de ese partido.
Yo nunca más estaría en un partido político, justamente por ese mismo motivo.",613e76e8ce63935b7d6526ad
1631482144000,PANTERA 🇨🇱 🇨🇱 🇨🇱,70878608,1437166396857847811,es,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@maca_santelices @joseantoniokast Todos los partidos políticos son matones, no sólo RN. En TODOS los partidos políticos se pasa al Consejo Político para expulsar a quienes apoyen a otros candidatos que no sean los de ese partido.
Yo nunca más estaría en un partido político, justamente por ese mismo motivo...",613e76e8ce63935b7d6526ae
1631481855000,PANTERA 🇨🇱 🇨🇱 🇨🇱,70878608,1437165181763792904,es,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Todos los partidos políticos son matones, no sólo RN. En TODOS los partidos políticos se pasa al Consejo Político para expulsar a quienes apoyen a otros candidatos que no sean los de ese partido.
Yo nunca más estaría en un partido político, justamente por ese mismo motivo... 🤔",613e76e8ce63935b7d6526af
1631481840000,PANTERA 🇨🇱 🇨🇱 🇨🇱,70878608,1437165121709748225,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Todos los partidos políticos son matones, no sólo RN. En TODOS los partidos políticos se pasa al Consejo Político para expulsar a quienes apoyen a otros candidatos que no sean los de ese partido.
Yo nunca más estaría en un partido político, justamente por ese mismo motivo.",613e76e8ce63935b7d6526b0
1631481809000,PANTERA 🇨🇱 🇨🇱 🇨🇱,70878608,1437164988251185165,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@klaudita37 @El_Fachocola @sebastiansichel A ver: todos los partidos políticos son matones. En TODOS los partidos políticos se pasa al Consejo Político para expulsar a quienes apoyen a otros candidatos que no sean los de ese partido.
Yo nunca más estaría en un partido político, justamente por ese mismo motivo.",613e76e8ce63935b7d6526b1
1630785102000,Ramón González,1231361026693705728,1434242789202616328,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@antipopulista Y quién los presentaron cómo excelentísimas personas precidenciales,duhalde, peronista también ex presidente ,y del partido peronista, justicialista, cómo usd quieran llamarlo,todo un corrupto, asesino, ladrón !!!!",613e76e8ce63935b7d6526b2
1631481844000,Emy,1150640572752900096,1437165137790750731,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://t.co/XOMitGJ1gE.. Mentira.. Queremos el 10xciento porq son nuestros ahorros ahora.. A uds q les importa si tienen en sus bolsillos con suculento sueldo.. Y los Cesantes q???,613e76e8ce63935b7d6526b3
1631481244000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437162619484446726,und,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@lauravelascook 👇 https://t.co/xfeCWDPR4Y",613e76e8ce63935b7d6526b4
1631481120000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437162098107236353,und,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@jmvaldesre 👇 https://t.co/9Og7fuMBlL",613e76e8ce63935b7d6526b5
1631480929000,Paloma Marquez,1275919055237664769,1437161299511844868,und,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@mariseka @jjcc_chile @carmen_hertz @PCdeChile @Diputados_PC @KarolCariola @PC_SanBernardo @MemorialdePaine @gteillier @WladimirBolton @EquipoMarisela 🌹🌹🌹,613e76e8ce63935b7d6526b6
1631479406000,Chapis-Recargada,465165042,1437154910269853701,es,3,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","En el gobierno de @lopezobrador_ y su compinche @HLGatell te tienes q amparar para vacunar a Menores d 18 mientras q a Nicaragua le mandan 400,000 Vacunas 
Esta es la 4T
#SerCandilesDeCalle?
Los obligaremos a punta d amparos? 
@senadomexicano 
@Mx_Diputados 
Están de adorno ? https://t.co/yu9zFBS8wU",613e76e8ce63935b7d6526b7
1631478972000,Nico Alegria,613186204,1437153089291792385,es,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Y cuando hacen lo mismo con la bancada de la inflación?
Un diputado RN que apoye a Kast a lo más será un voto menos, sus diputados ""discolos"" nos joderan el bolsillo a todos los chilenos https://t.co/san81Xqg3o",613e76e8ce63935b7d6526b8
1631478897000,Mary Coty Benedetto,309452935,1437152776132386820,es,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#Rosario votamos #BoletaUnicaDePapel excelente. Excepto, como hoy, las de senadores y diputados nacionales, en las forma obsoleta y corrupta https://t.co/QaYuw5mpP2",613e76e8ce63935b7d6526b9
1631478762000,Maria Cristina Salvador,940639639895007235,1437152210610180096,es,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@soluterionte Es muy grave lo que sucede. Si se emitieron alertas rojas, porque no se hacen efectivas?
Y con respecto al Parlasur escuché a uno de nuestros diputados que lo defienden los del Pro y diputados de otros países. Con Milagro Salas no hicieron lo mismo y sigue presa",613e76e8ce63935b7d6526ba
1631478084000,Legisladorxs de TOD☀S CABA,1265338969937543169,1437149364888260616,und,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","#LaVidaQueQueremos 🇦🇷☀️
@mbarroetavena 👇 https://t.co/dksy7PBcbw",613e76e8ce63935b7d6526bb
